Bridge_ID,Span_ft,Deck_Width_ft,Age_Years,Num_Lanes,Material,Condition_Rating,Max_Load_Tons
B001,403,25,77,4,Steel,5,249
B002,511,34,15,6,Composite,2,233
B003,225,20,10,1,Composite,2,102
B004,380,29,26,1,Steel,1,100
B005,565,20,88,5,Steel,1,206
B006,443,39,15,1,Steel,5,134
B007,456,20,13,5,Composite,5,245
B008,170,27,62,5,Steel,1,235
B009,276,22,29,6,Steel,5,222
B010,183,32,82,5,Steel,1,172
B011,499,45,84,5,Concrete,3,242
B012,115,22,59,4,Concrete,5,241
B013,471,56,30,4,Steel,5,111
B014,287,38,40,2,Steel,3,173
B015,414,51,92,6,Steel,1,109
B016,366,45,45,1,Steel,3,236
B017,161,25,49,5,Composite,5,158
B018,208,20,65,4,Steel,5,148
B019,564,34,82,3,Composite,5,197
B020,154,21,14,2,Composite,5,123
B021,160,45,43,1,Steel,3,165
B022,415,27,41,4,Composite,3,124
B023,227,32,98,3,Steel,5,166
B024,115,42,68,5,Steel,3,238
B025,129,24,40,5,Concrete,2,226
B026,403,51,34,1,Steel,5,175
B027,553,48,18,3,Composite,1,179
B028,360,45,94,4,Concrete,3,100
B029,523,27,48,5,Composite,3,113
B030,581,28,15,3,Composite,5,190
B031,413,53,95,6,Steel,1,157
B032,315,34,34,3,Concrete,2,167
B033,235,52,9,1,Composite,5,112
B034,434,48,45,4,Composite,4,192
B035,388,31,71,6,Steel,1,241
B036,452,27,32,2,Concrete,2,228
B037,159,40,64,5,Composite,1,133
B038,580,26,24,2,Steel,3,184
B039,175,43,19,1,Concrete,4,163
B040,127,54,21,6,Composite,3,196
B041,268,37,8,4,Composite,4,127
B042,207,33,97,4,Concrete,1,182
B043,124,32,89,4,Concrete,5,188
B044,127,52,91,6,Composite,5,129
B045,289,51,13,5,Concrete,4,185
B046,372,30,10,3,Steel,4,194
B047,454,46,79,2,Composite,3,186
B048,282,21,10,5,Composite,3,215
B049,369,29,72,1,Steel,2,209
B050,472,44,52,4,Steel,5,210
B051,180,58,12,6,Steel,5,239
B052,150,58,30,4,Steel,1,186
B053,179,44,73,1,Steel,4,227
B054,153,29,93,6,Composite,3,200
B055,241,39,9,6,Steel,3,211
B056,155,58,81,2,Concrete,1,216
B057,573,24,51,5,Composite,2,205
B058,588,35,35,5,Concrete,5,224
B059,441,58,5,5,Composite,5,236
B060,427,44,12,1,Steel,5,112
B061,558,38,10,4,Concrete,2,145
B062,439,59,26,5,Steel,2,242
B063,105,34,60,1,Steel,2,193
B064,437,58,33,4,Concrete,2,184
B065,483,51,93,6,Concrete,4,249
B066,447,53,65,6,Steel,5,241
B067,363,38,84,2,Concrete,4,107
B068,365,44,42,4,Steel,2,142
B069,437,52,44,1,Steel,1,113
B070,492,44,53,2,Composite,5,250
B071,346,41,69,5,Composite,5,199
B072,164,50,96,5,Concrete,5,172
B073,123,25,51,4,Steel,4,214
B074,572,23,27,2,Composite,3,228
B075,358,46,41,5,Composite,4,121
B076,269,46,53,5,Composite,3,152
B077,258,59,13,3,Concrete,3,133
B078,284,31,44,1,Steel,5,121
B079,346,50,68,2,Composite,1,167
B080,553,51,81,3,Concrete,3,226
B081,237,43,88,3,Steel,3,175
B082,175,31,19,3,Steel,4,191
B083,517,27,50,3,Composite,1,194
B084,431,44,67,2,Steel,3,153
B085,312,39,84,3,Concrete,2,159
B086,536,23,48,3,Composite,3,209
B087,147,60,52,4,Steel,4,148
B088,520,55,22,2,Steel,3,237
B089,460,30,60,5,Composite,5,110
B090,521,44,15,5,Concrete,3,249
B091,103,40,87,5,Concrete,1,152
B092,190,34,96,2,Composite,2,127
B093,279,42,35,2,Composite,5,161
B094,526,23,26,5,Concrete,3,230
B095,457,50,25,1,Steel,1,205
B096,369,20,89,6,Concrete,3,168
B097,148,39,40,1,Composite,3,217
B098,434,50,53,3,Composite,3,202
B099,305,34,14,5,Steel,4,200
B100,451,26,82,6,Steel,1,237
B101,190,40,38,3,Steel,4,110
B102,437,32,34,5,Steel,3,140
B103,439,50,49,4,Concrete,3,124
B104,254,40,87,3,Composite,2,221
B105,501,20,25,2,Concrete,5,211
B106,369,41,15,6,Composite,2,110
